epoch,trainLoss,trainTop5Acc,trainBatchTime,trainDataTime,valLoss,valTop5Acc,bleu1,bleu2,bleu3,bleu4
0,8.453142336945035,0.16583747927031509,4.390674829483032,3.1066304047902427,8.442661167802038,2.027027027027027,0.015202702702702702,1.8392154947814048e-155,2.2350188465709894e-204,6.3971793140413356e-232
1,8.424844379763996,2.7463651050080777,4.123955011367798,3.112602194150289,8.41001010440206,11.75523349436393,0.1497584541062802,0.06272248402918965,4.796484077293763e-103,3.7358019159744255e-155
2,8.405624467468261,8.8,4.15253963470459,3.125841577847799,8.425325388692396,17.94425087108014,0.23519163763066203,0.07026541848044068,5.169792865596959e-103,3.9540579891789e-155
3,8.390005250354577,16.31663974151858,4.158124780654907,3.1305164893468223,8.397044807774915,27.31958762886598,0.27835051546391754,0.04574779796368013,3.8946460150344645e-103,3.19048945043319e-155
4,8.374773925503359,22.350993377483444,4.132943725585937,3.117151697476705,8.363302682492598,30.528052805280527,0.28547854785478544,7.970011631085125e-155,5.882833715767017e-204,1.3316855684555326e-231
