epoch,trainLoss,trainTop5Acc,trainBatchTime,trainDataTime,valLoss,valTop5Acc,bleu1,bleu2,bleu3,bleu4
0,3.382439820271202,62.8654297396327,0.1791994869709015,0.002731416840106249,7.83448258888209,30.305352901310236,0.7237737176083778,0.5278877822913551,0.3804256357044845,0.2663458861425405
1,2.8406597518416343,69.84133492269764,0.1740136295557022,0.00033068310585804284,8.011410545115401,30.514120270333773,0.7333447999082674,0.5412146898444681,0.3925708558564816,0.2775055693065311
2,2.701789053819465,71.67009939369633,0.17395749688148499,0.00032745851785875857,8.06383735690477,30.74855448576871,0.7336144990311182,0.5400949407656677,0.39421893325972057,0.2797987395451664
3,2.620877558620543,72.74196531437526,0.17867518961429596,0.0003160855849273503,8.137400820775222,31.009471276191785,0.7405192642494891,0.5498432711872115,0.4024342610179633,0.287940394823699
4,2.56488891186709,73.50697764100397,0.17670828104019165,0.00032277166610583663,8.132959922324954,30.98193461132803,0.7445066296059798,0.5525500922251956,0.40575335406934665,0.2908909682738065
5,2.522211394059705,74.07738522985703,0.1738027036190033,0.00032630038913339376,8.262715870594027,30.982544342420585,0.7483994878361075,0.5567182484897734,0.4094700897898109,0.2953740476499261
6,2.489488556678968,74.5097668060053,0.17399701476097107,0.00032786335214041173,8.212405179854226,31.262531448231893,0.7444431907931851,0.5531119291303117,0.4075426814052756,0.2938457156588893
7,2.461959431590079,74.88892965635908,0.17411065101623535,0.0003354793880134821,8.232835935770572,31.149280097108292,0.7484035759897829,0.5591759025805211,0.4136157034405815,0.30025803737723006
8,2.439210278805447,75.20259284013171,0.1739603877067566,0.0003287393774371594,8.30378805235368,31.367855195558068,0.7507912584777694,0.5618698517417342,0.4183365781590597,0.3061067980469012
9,2.41977573683843,75.47260198927334,0.17403845489025116,0.00032587151508778334,8.318564319406226,31.307922673579636,0.747333571603243,0.5587854258401896,0.4141595184479059,0.30036983586780647
10,2.4028069785917667,75.68419082802724,0.17386187613010406,0.000331089977407828,8.400354247320587,31.30571809726219,0.748891074775895,0.5624563166514782,0.41841674175174465,0.304659506636636
11,2.3876936507632474,75.90504671368862,0.1742231547832489,0.0003463704779278487,8.348704101475702,31.358707455936624,0.7517328762018335,0.5653966490113504,0.42172241100099345,0.30799149498908335
12,2.3746630851620094,76.07336705845823,0.17588326334953308,0.0003603061777539551,8.386293700220289,31.492335324906364,0.756658801321378,0.5700017152039941,0.4252841203228417,0.31060993450857904
13,2.3622235359564767,76.24674605668147,0.1740148663520813,0.0003322046250104904,8.39237407998012,31.42966043540236,0.7541777761087536,0.5675468758842273,0.4245746276519616,0.3116254354211522
14,2.3514072512566626,76.38793853415216,0.17388565838336945,0.00032976228976622224,8.456398087204617,31.37274322196068,0.7502187145170597,0.5634979332636948,0.419482904051411,0.3062232409415749
15,2.3418992303156494,76.52338477338249,0.1737084686756134,0.0003236306074541062,8.405150262510004,31.324811871820884,0.7538997083450936,0.5668246191181159,0.4214834772409246,0.30822576491898457
16,2.3320331883224696,76.66992390435728,0.17383472621440887,0.00032292111427523196,8.454446559322896,31.55290808023141,0.7532267747260993,0.5678806805796348,0.423791496023416,0.3103380911896041
17,2.323890955882314,76.78671135593314,0.17385649681091309,0.0003224043466616422,8.444218855448717,31.606574553600574,0.7543306204733816,0.5698284403123574,0.4269126311685489,0.31342527085610705
18,2.3157642881029865,76.89307789217433,0.177004873752594,0.00038062362000346184,8.470196012775899,31.52893320302459,0.7535254905642663,0.5697497827998861,0.42755634972987944,0.31427101190699375
19,2.308305099011849,76.99486294919691,0.17682096362113953,0.00037284952122718096,8.440925435443022,31.57911436617001,0.7528979943444634,0.5677063999617623,0.4244071589051088,0.31188728374800606
20,2.2889336136066896,77.30198164681748,0.3963433802127838,0.0002514161169528961,8.385829288583096,31.538983751988432,0.758326676945368,0.5726748878307046,0.4278219217390593,0.31399093213781126
21,2.2706199842296733,77.59307426447245,0.3963402807712555,0.00025839987210929394,8.431008069366035,31.68960220202522,0.7611235996804577,0.576759532120415,0.4320251126062794,0.3172131650781901
22,2.2574618161742435,77.77834589588456,0.39640122652053833,0.00025731377536430955,8.394937143671228,31.721137153522513,0.7553564184828705,0.574678658444588,0.431780999315973,0.31780548420855587
23,2.2456305438824256,77.94451021807993,0.3963780701160431,0.0002550319768488407,8.324056266410027,31.96341076155414,0.7609058845368479,0.5795749935717417,0.43667222040991305,0.3218110186700143
24,2.235647078104775,78.10795770711354,0.39631956815719604,0.0002636947319842875,8.408092358089856,31.92872236798604,0.763744427934621,0.5801194459170819,0.4361147977592548,0.3213266878569468
25,2.2266277701068797,78.24948841445193,0.39615127444267273,0.0002553253434598446,8.436741570034599,31.880506382018737,0.7588131664348632,0.5771232863683892,0.4354211202264603,0.32233469528231135
26,2.2170099779020602,78.38950337504558,0.3961089849472046,0.0002516637905500829,8.47630059882188,31.835295991459827,0.7622866011381273,0.5814481571993779,0.43842204403027535,0.3243602208726652
27,2.2091056987965496,78.50965474817463,0.39613044261932373,0.000256560742855072,8.438008374517915,32.10163040888239,0.7658388809933429,0.5851872947950206,0.44161744656264257,0.3265465038494939
28,2.200751294048872,78.61490961087087,0.3959369659423828,0.00025427498621866107,8.390411247392535,32.02275830737247,0.7653861194391166,0.5826776826228399,0.43991605828941616,0.3248999553044685
29,2.1934661118699394,78.72444386245218,0.3959274888038635,0.0002405344566795975,8.462778974750481,31.979879186033884,0.7638888888888888,0.5825146935408693,0.44041162212239254,0.3266486687631234
30,2.1858229046999433,78.84631886697392,0.3958338499069214,0.00025965290842577815,8.4728417782732,31.91000409696138,0.7657607381364288,0.5856852938233136,0.4428554395690625,0.32858796374817617
31,2.1792137375817693,78.94009005780968,0.3954964876174927,0.00024244561791419983,8.41178266934715,32.09202833987073,0.7702142039161207,0.5894943324935038,0.44575496400470216,0.3308327947752178
32,2.1731742056294814,79.0447971692907,0.39553043246269226,0.00024983740877360106,8.440261011693874,32.17240146229257,0.767013161830691,0.5853336251510313,0.4418959005005448,0.3275829333193457
33,2.165919556767141,79.14394554907841,0.3951500356197357,0.00024706352269276977,8.40075709579558,32.12418199141804,0.7728481036354786,0.5921867394576761,0.44860149821712014,0.33344301501175144
34,2.15977398165089,79.23725486515744,0.395481139421463,0.0002593639073893428,8.434470744383747,32.18651588728013,0.7727553831449935,0.5905822034564646,0.44677001652921927,0.3316363991249711
35,2.1542463068182847,79.32097439516616,0.39597201347351074,0.00025493078283034265,8.42472145907258,31.981850242400927,0.769626385912606,0.5890469642089853,0.44573482127552205,0.3306026535620986
36,2.1481831961012516,79.41742494945446,0.39593905210494995,0.00028495490550994873,8.48709010539201,32.046562323382005,0.7706964765601673,0.5893287244829893,0.4458372107782246,0.33027511213780025
37,2.143147747084121,79.48723524256343,0.39589864015579224,0.00024413189385086298,8.472447603303157,32.191301040727005,0.7735767951257803,0.5940259803364347,0.4510068562879878,0.33590125780801217
38,2.1375853146008943,79.57872673963838,0.3957080841064453,0.00023869953292887658,8.468656543185407,32.16201662018328,0.7718610496304911,0.5920809212257241,0.45002794772199856,0.3356914248579276
39,2.1325135796964663,79.63785200319315,0.3957340717315674,0.00024620903423056006,8.478225874138966,32.212244681313166,0.7698948389021479,0.5908920814186492,0.4479705678062183,0.3336084534455722
40,2.1279363296523894,79.72104797198088,0.39603811502456665,0.00025220972020179033,8.472560558270967,32.38577726289806,0.7736776218680518,0.5947508542458595,0.4520593448813134,0.3372889032486195
41,2.1231367088549904,79.78345962552902,0.3958887457847595,0.0002558935957495123,8.447588944245632,32.21304904103864,0.77016309204647,0.5926475992641322,0.4511144593497622,0.3361558573088161
42,2.1185538251572242,79.85610479161784,0.3957332968711853,0.0002529573976062238,8.466470812372348,32.251539763609216,0.7707745432942225,0.5899580609037454,0.44693566002632146,0.332098695406537
43,2.1139060098820983,79.9242506454133,0.3958587646484375,0.0002623582840897143,8.427825370133522,32.12656609287202,0.7739777229573148,0.5927292258890197,0.44796820135073956,0.33177424228563784
44,2.1092004831784745,80.00664895237051,0.39564067125320435,0.00027552840765565634,8.492292072035823,32.17342946555281,0.769397831897832,0.5905301714707482,0.44798630680392026,0.33329950433410777
45,2.104874368470255,80.05762900761076,0.3959348201751709,0.0002488028258085251,8.45133840000521,32.430235225669044,0.7779944864317462,0.6003967907465338,0.45738037487792804,0.3421094323929346
46,2.100909635956806,80.12340663688805,0.39573729038238525,0.00026155312662012875,8.472096605428634,32.08000541249451,0.7754968863034643,0.5976727158124208,0.4558417753294006,0.3400167712801969
