epoch,trainLoss,trainTop5Acc,trainBatchTime,trainDataTime,valLoss,valTop5Acc,bleu1,bleu2,bleu3,bleu4
0,3.382439820271202,62.8654297396327,0.17440223693847656,0.00039580895099788904,7.834482620007994,30.305352901310236,0.7237737176083778,0.5278877822913551,0.3804256357044845,0.2663458861425405
1,2.8406541239602494,69.84566179668298,0.17349942028522491,0.0003436109400354326,8.011369194379913,30.50256073480874,0.7325718862024254,0.5406848399431108,0.3924433429897765,0.277714249954585
2,2.7018040080984527,71.68221773504942,0.17372286319732666,0.0003524605999700725,8.068628682647468,30.776730785001707,0.7341917024320458,0.5401740325087043,0.3937229825560507,0.27900279666017297
3,2.620914631019725,72.74288917154041,0.1787075698375702,0.0003487297799438238,8.149993161376528,30.916678370053287,0.7405214166792795,0.5502815227912072,0.40290424369602396,0.28778519901447036
4,2.5649161785723464,73.50166533092315,0.17673295736312866,0.0003454785328358412,8.136214721659464,30.941990326872972,0.7417146296505285,0.5493982177706566,0.40235807853421723,0.28723740114248403
5,2.522271305488833,74.06417367398471,0.17269694805145264,0.00033611495746299624,8.247988439786013,30.95123426027248,0.7499245283018868,0.5579817798697971,0.4103790986690959,0.296268059249048
6,2.4894273797213256,74.51307739918634,0.17314808070659637,0.0003448587958700955,8.225609325968797,31.140282698602913,0.7458202815413065,0.5545854383064702,0.40818059064945006,0.2941739965786355
7,2.462124818475304,74.87907486620315,0.17305146157741547,0.0003430963843129575,8.23718532048282,31.15860964647151,0.7467967930466057,0.5583888938302273,0.4131337049247083,0.29976881246362314
8,2.4391459872676933,75.1982197260362,0.1731424629688263,0.000344545318512246,8.302829985645083,31.271450319596436,0.7482605588777314,0.559338739960733,0.41590093176250204,0.30402264237403903
9,2.4197553248397345,75.46678145683954,0.17308346927165985,0.0003460099396761507,8.317151047988746,31.245777891640536,0.7470524181435867,0.5583472693306812,0.41301919745200155,0.29908994783067655
10,2.4026647686689104,75.69458452933976,0.172870934009552,0.0003457318525761366,8.369137309388138,31.34272541508985,0.7470917867248618,0.559590790682066,0.41520279885437494,0.3011211649965894
11,2.387779257533958,75.90135114578055,0.17336048185825348,0.0003437161794863641,8.348852576927888,31.33707657459169,0.7487825356842989,0.563466848489,0.41983167047389525,0.3053828929711035
12,2.374806975116069,76.06917881670466,0.17292991280555725,0.0003366225282661617,8.353308727845489,31.48376540528053,0.7565560761789601,0.5721630585002325,0.4282266353442834,0.31335487619746827
13,2.3623683063228524,76.2523663251635,0.17305980622768402,0.0003456926206126809,8.398000839975232,31.3117245714119,0.7531081815965646,0.566876724866393,0.4236710214779064,0.31045107750750767
14,2.351552870851367,76.39285052131656,0.1731591820716858,0.000343575666192919,8.45120477257554,31.30227658467864,0.7536345629181149,0.567187206043046,0.42332007762557233,0.3094750927706634
15,2.342056990537762,76.51302184517375,0.17261940240859985,0.00033167796209454536,8.37999578198814,31.383440468663153,0.7573975649289457,0.5707683058465036,0.4252631063712292,0.3109868269373772
16,2.3323409384141884,76.66635158837664,0.17220912873744965,0.00032446131808683276,8.456741251963573,31.57141274373387,0.7525400217448356,0.566578966464347,0.42302877380654536,0.3094087630648727
17,2.3238717201194046,76.78769682497486,0.17272257804870605,0.0003313720226287842,8.46361657473154,31.45860280981046,0.7530905632936175,0.5687013282599935,0.4251672572795819,0.3109254081412109
18,2.3158498564662113,76.8904294076357,0.17266470193862915,0.00033290416467934847,8.466803254980286,31.461183643060394,0.7544394281414597,0.5701628660191757,0.4270249861228135,0.3138009122962107
19,2.3086745871717014,77.014495488877,0.17254066467285156,0.0003248311404604465,8.433996292639286,31.4985744199995,0.7531503150315032,0.5665567318009258,0.4219371566050128,0.30827126360567997
20,2.265659363200332,77.72279634093337,0.4170081317424774,0.00023814509040676057,8.30018103031501,32.18143997408328,0.7668886422493526,0.584183306244974,0.44068203924968796,0.325913873971497
21,2.1976496581475113,78.81209539942432,0.41644036769866943,0.00025365481269545853,8.381835316445523,32.30873505274924,0.7696002076843198,0.5898832308292732,0.445781962944291,0.33043917891278657
22,2.151309212945966,79.53289851675754,0.41644006967544556,0.00024106859927996993,8.285011087114924,32.367995061640634,0.7734331359624623,0.5955430124935059,0.45219967019515983,0.3350276247339531
23,2.1133129821474657,80.10982243510217,0.41790467500686646,0.00023277904256246984,8.290107642843191,32.410068789243354,0.77428002308394,0.5973468857303029,0.4542585850520116,0.3373502761812117
24,2.0815997564201965,80.60864101746857,0.4178045392036438,0.00023184739984571934,8.376811277704787,32.46375104417427,0.777040059347181,0.6005627067597026,0.45769238890881686,0.34194799573617624
25,2.0541423527498917,81.02833767185592,0.4165470600128174,0.00023201419389806688,8.426918478370348,32.527097692841615,0.7679216756397964,0.591376333175335,0.4508085777760788,0.33725800917369425
26,2.028647651863349,81.41264345842818,0.41660863161087036,0.00023813731968402863,8.481488229682425,32.388731022236044,0.7757967461555605,0.5987210450378433,0.45479343650204984,0.33873661619435946
27,2.006098784833793,81.7405614467449,0.41663238406181335,0.00023103761486709118,8.431079854630973,32.45394617689245,0.7771541886481835,0.6011180045634864,0.4574751215247179,0.34110812440438026
28,1.984058943928215,82.07757413940594,0.4167361855506897,0.00023001577937975526,8.440602975504396,32.26668886965783,0.7754732141188782,0.596377097278113,0.45303662512335086,0.3368215461474046
29,1.963766333484777,82.3977505571086,0.4166049063205719,0.00023349585535470396,8.545536976467837,32.19987739502304,0.7733293974392089,0.5966046487536971,0.45320590445890874,0.33620053068698325
30,1.9446043210816752,82.67347079645198,0.42087334394454956,0.0002828016586136073,8.57562455430004,32.43026536512223,0.7773310251112228,0.5994170571385812,0.4576291930864919,0.3429664911277167
