epoch,trainLoss,trainTop5Acc,trainBatchTime,trainDataTime,valLoss,valTop5Acc,bleu1,bleu2,bleu3,bleu4
0,3.799771758176434,56.32613303882133,0.22527743875980377,0.008067465387284756,6.247959657341792,30.2865147175642,0.7095799804191198,0.5134326257860833,0.3623776440778394,0.2430804579029824
1,3.001156915569239,66.13459548562938,0.20531216263771057,0.00035484920954331756,6.53633862914316,30.660559129206703,0.7293672713125341,0.5328461176041083,0.3812215230704633,0.26354282158298376
2,2.811441417298151,68.58102511522334,0.20537035167217255,0.00035535788629204035,6.705679104954407,30.68625427002977,0.7325029696121077,0.5377451981320234,0.38796892886894896,0.2699654992448014
3,2.707615970895713,69.92091071019762,0.2053045630455017,0.00034136150497943163,6.807419180588986,30.688265053485775,0.7333001092561001,0.5388796323924824,0.39013742055615414,0.27354056476187283
4,2.638215382804817,70.82188868194311,0.20581863820552826,0.0003524355124682188,6.871933900271576,30.866228118003033,0.7402584895121058,0.5442871979106972,0.3935470979893608,0.27664077617636856
5,2.5871715513105897,71.50558165604205,0.20631597936153412,0.0003464151232037693,6.956583359979999,30.80080821062488,0.7429869806147298,0.5515750111559768,0.40242420165221354,0.28554497115267163
6,2.5476643817125773,72.00549649919697,0.2058105319738388,0.00034897058503702283,6.9706886598965685,30.948295268297606,0.7407819514253923,0.5484113602826294,0.39995705463811815,0.28403200425032915
7,2.515910193159746,72.42118363254762,0.21561303734779358,0.00033021782292053103,6.972552898456586,30.855848648700782,0.742407757353643,0.5510098528825563,0.40180347091153273,0.28465040402184255
8,2.489750239322233,72.77246472599064,0.21242624521255493,0.00032739422749727964,7.032951754072396,31.270983825630935,0.7467828495585435,0.5560629081129143,0.40859456356438284,0.2930175168903146
9,2.4667461803466755,73.04433891547124,0.20521992444992065,0.0003360007831361145,7.06584238930802,31.22731877473169,0.7435589144623841,0.5532165811341238,0.4056979408700448,0.28980331974144474
10,2.4470204757494,73.33431984646633,0.2051599621772766,0.0003374136285856366,7.116720080986692,31.433769803996416,0.7488793514544587,0.5608361819799489,0.414051695722931,0.29832413033148975
11,2.4299089449822473,73.56735267133253,0.20526546239852905,0.0003410920617170632,7.110969215074554,31.359851584975853,0.7472853475325664,0.5578343261850915,0.41135941887221206,0.2953720778395089
12,2.415148020480063,73.76345157633094,0.2052723914384842,0.0003436598926782608,7.1340711396549485,31.18838673044134,0.7517069905326575,0.562555669667235,0.4141474614328455,0.29679346979551285
13,2.401372949747897,73.95196655647567,0.20533408224582672,0.00034390820655971766,7.152190889852425,31.291181564201413,0.7523028319123021,0.5630029176014373,0.41533893414482775,0.2980726205143796
14,2.3888925529293323,74.12206192310016,0.20513850450515747,0.0003564787039067596,7.198661761391815,31.265948025384297,0.7498757312736588,0.5619286853680492,0.41621317432392907,0.30142230137718923
15,2.3781461869251466,74.26007864192496,0.2055399864912033,0.0003534993447829038,7.1861717611572775,31.19282228138492,0.7516829719472892,0.5644449441980312,0.4177176354485869,0.3013263648002405
